sample_index,observed,AR(3),MA(2),"ARMA(3,2)","ARIMA(3,1,2)",Training-mean baseline
2023,973.0,1025.4716702943226,1026.0380355563846,1026.0309661654483,1110.1821464829518,1026.0311111111112
2024,975.0,1025.4716599380954,1026.0380355563846,1026.0309662847535,1110.1821472178694,1026.0311111111112
2025,973.0,1025.4716464436265,1026.0380355563846,1026.030966409574,1110.1821477376304,1026.0311111111112
2026,978.0,1025.4716308660043,1026.0380355563846,1026.0309665243813,1110.1821480029098,1026.0311111111112
2027,976.0,1025.4716142315233,1026.0380355563846,1026.030966617347,1110.1821480153387,1026.0311111111112
2028,973.0,1025.4715974907404,1026.0380355563846,1026.0309666811263,1110.182147811136,1026.0311111111112
2029,971.0,1025.471581481104,1026.0380355563846,1026.0309667129889,1110.18214745093,1026.0311111111112
2030,970.0,1025.4715668998058,1026.0380355563846,1026.0309667143893,1110.1821470077443,1026.0311111111112
2031,969.0,1025.4715542869153,1026.0380355563846,1026.030966690115,1110.1821465550797,1026.0311111111112
2032,979.0,1025.4715440183531,1026.0380355563846,1026.030966647184,1110.1821461567165,1026.0311111111112
2033,992.0,1025.471536307818,1026.0380355563846,1026.030966593658,1110.1821458593863,1026.0311111111112
2034,1010.0,1025.4715312164622,1026.0380355563846,1026.0309665375305,1110.1821456888927,1026.0311111111112
2035,1033.0,1025.4715286688718,1026.0380355563846,1026.030966485799,1110.1821456496953,1026.0311111111112
2036,1067.0,1025.4715284737829,1026.0380355563846,1026.0309664438084,1110.1821457274978,1026.0311111111112
2037,1108.0,1025.4715303479202,1026.0380355563846,1026.0309664148929,1110.1821458940306,1026.0311111111112
2038,1157.0,1025.471533941399,1026.0380355563846,1026.0309664003125,1110.1821461130417,1026.0311111111112
2039,1212.0,1025.471538863245,1026.0380355563846,1026.030966399443,1110.182146346488,1026.0311111111112
2040,1264.0,1025.4715447057583,1026.0380355563846,1026.0309664101546,1110.182146560045,1026.0311111111112
2041,1307.0,1025.4715510666683,1026.0380355563846,1026.030966429308,1110.1821467272773,1026.0311111111112
2042,1334.0,1025.4715575682635,1026.0380355563846,1026.0309664532845,1110.1821468320964,1026.0311111111112
2043,1336.0,1025.47156387293,1026.0380355563846,1026.0309664784897,1110.1821468694254,1026.0311111111112
